"","LI_CD","LI_ENG_NM","LI_KOR_NM","x_coord","y_coord","num"
"11778","4728037024","Gunggi-ri","궁기리",127.952173329861,36.6219403976074,0
"11779","4728037025","Naeseo-ri","내서리",127.955966728621,36.5555213627901,0
"11780","4728037026","Hwasan-ri","화산리",127.972137913261,36.5862111797011,0
"11781","4728037027","Yulsu-ri","율수리",127.995642587224,36.5606530398966,0
"11782","4728037028","Galdong-ri","갈동리",128.01595161306,36.5698535511979,0
"11783","4728037029","Sahyeon-ri","사현리",128.038107342959,36.5751566325775,0
"11784","4728037030","Jidong-ri","지동리",128.053596885728,36.5630344572575,0
"11785","4728037031","Seongok-ri","선곡리",128.038768382758,36.554964745115,0
"11786","4729025021","Geumnak-ri","금락리",128.812355012771,35.9089833118753,0
"11787","4729025022","Dongseo-ri","동서리",128.828438453148,35.9170910994094,1
"11788","4729025023","Dori-ri","도리리",128.814578210231,35.9192884196979,1
"11789","4729025024","Seosa-ri","서사리",128.794546795129,35.9217177072671,0
"11790","4729025025","Yangji-ri","양지리",128.802446237186,35.9241661303112,0
"11791","4729025026","Sagi-ri","사기리",128.767273529536,35.9365966573551,0
"11792","4729025027","Daegok-ri","대곡리",128.762754991395,35.9241003427429,0
"11793","4729025028","Gyo-ri","교리",128.801771272219,35.9325240063408,0
"11794","4729025029","Hansa-ri","한사리",128.829778242761,35.92710913032,1
"11795","4729025030","Daehak-ri","대학리",128.813475947044,35.9375629774311,1
"11796","4729025031","Buho-ri","부호리",128.794505866949,35.907425333313,0
"11797","4729025032","Eunho-ri","은호리",128.781262243367,35.9027581061833,2
"11798","4729025033","Namha-ri","남하리",128.768730812107,35.8960104582667,2
"11799","4729025034","Cheongcheon-ri","청천리",128.764268437039,35.8756057541239,3
"11800","4729025035","Hwansang-ri","환상리",128.783111759639,35.8801513700684,3
"11801","4729025036","Daejo-ri","대조리",128.798990709891,35.8904536827823,1
"11802","4729025321","Sinsang-ri","신상리",128.821838315651,35.8730965191678,1
"11803","4729025322","Seonhwa-ri","선화리",128.799494041269,35.8693666392273,3
"11804","4729025323","Boin-ri","보인리",128.807249958078,35.8852494284178,1
"11805","4729025324","Bonghoe-ri","봉회리",128.815942720475,35.8854030852207,1
"11806","4729025325","Buk-ri","북리",128.824179055443,35.8882148334281,0
"11807","4729025326","Bugi-ri","부기리",128.82205954605,35.9007692751087,0
"11808","4729025327","Yanggi-ri","양기리",128.832966320983,35.8942833839306,0
"11809","4729025328","Sangnim-ri","상림리",128.833426319096,35.9046551325571,1
"11810","4729025329","Naeri-ri","내리리",128.846709289831,35.9019141900685,1
"11811","4729025330","Muncheon-ri","문천리",128.841552064092,35.8845461305885,0
